"LRTLat","LRTLon"
"40.49682",-105.11552
"39.801762",-105.051735
"NA",NA
"40.64048",-103.12511
"39.64333",-104.7083
"39.64333",-104.7083
"39.64333",-104.7083
"39.95",-105.2
"NA",NA
"NA",NA
"38.780556",-108.176111
"38.780556",-108.176111
"39.01261",-108.49194
"NA",NA
"39.005833",-108.493611
"39.005833",-108.493611
"39.005833",-108.493611
"38.550983",-104.65737
"NA",NA
"40.477779",-107.57222
"40.313068",-103.732719
"NA",NA
"40.58156",-104.8318
"40.58156",-104.8318
"NA",NA
"NA",NA
"37.942145",-103.691139
"NA",NA
"NA",NA
"40.600715",-102.397911
"NA",NA
"NA",NA
"39.281595",-106.900529
"NA",NA
"38.85259",-104.90273
"NA",NA
"39.79095",-104.97597
"39.79095",-104.97597
"39.79095",-104.97597
"39.79095",-104.97597
"39.797155",-105.059188
"39.797155",-105.059188
"39.797155",-105.059188
"39.797155",-105.059188
"39.797155",-105.059188
"39.797155",-105.059188
"39.797155",-105.059188
"39.797155",-105.059188
"39.797155",-105.059188
"39.797155",-105.059188
"39.797155",-105.059188
"39.797155",-105.059188
"39.797155",-105.059188
"NA",NA
"NA",NA
"40.142967",-108.848015
"40.117268",-108.236055
"39.720402",-105.199898
"39.05875",-108.54426
"39.05875",-108.54426
"39.05875",-108.54426
"39.05875",-108.54426
"NA",NA
"39.66563",-105.01104
"39.66563",-105.01104
"39.66563",-105.01104
"39.66563",-105.01104
"38.117203",-105.987998
"37.599044",-106.243887
"39.449717",-104.96703
"39.446705",-104.973997
"39.810297",-104.968658
"NA",NA
"39.53386",-107.32574
"39.53386",-107.32574
"NA",NA
"39.603369",-105.991839
"39.603369",-105.991839
"NA",NA
"38.206112",-108.483977
"40.179155",-104.677995
"40.179155",-104.677995
"NA",NA
"39.84914",-104.77197
"NA",NA
"39.84914",-104.77197
"39.84914",-104.77197
"39.84914",-104.77197
"39.84914",-104.77197
"37.050857",-107.86649
"38.468739",-105.116272
"40.470959",-107.03571
"39.614986",-106.365862
"39.87075",-104.88168
"39.87075",-104.88168
"39.87075",-104.88168
"39.995319",-103.19989
"38.223056",-104.710833
"38.864721",-104.68301
"40.029304",-105.02557
"40.595363",-104.831819
"39.659393",-104.593544
"40.59585",-105.0695
"40.59585",-105.0695
"38.52422",-107.81668
"NA",NA
"38.52422",-107.81668
"40.585892",-104.826759
"39.5636",-104.9335
"NA",NA
"39.63152",-105.01578
"39.63152",-105.01578
"40.170901",-104.509444
"40.170901",-104.509444
"38.547492",-104.661847
"39.457438",-107.261598
"NA",NA
"39.86349",-105.01821
"40.060963",-102.529762
"NA",NA
"41.838129",-72.599775
"41.838129",-72.599775
"41.162404",-73.208494
"NA",NA
"41.162404",-73.208494
"41.162404",-73.208494
"41.186485",-73.159156
"41.186485",-73.159156
"41.186485",-73.159156
"41.186485",-73.159156
"41.186485",-73.159156
